# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	NCI:C50706	Unspecified	decubitus ulcer
DOID:8717	oboInOwl:hasDbXref	MESH:D003668	Unspecified	decubitus ulcer
DOID:8717	oboInOwl:hasDbXref	ICD9CM:707.0	Unspecified	decubitus ulcer
DOID:8717	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:28103007	Unspecified	decubitus ulcer
DOID:8717	oboInOwl:hasDbXref	UMLS_CUI:C0011127	Unspecified	decubitus ulcer
DOID:8717	oboInOwl:hasDbXref	ICD10CM:L89	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	ICD10CM:Q85.00	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	NCI:C6727	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154642000	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	ORDO:93921	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	UMLS_CUI:C0162678	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	ICD9CM:237.7	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	MESH:D017253	Unspecified	neurofibromatosis
DOID:8712	oboInOwl:hasDbXref	GARD:10420	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	ICD9CM:230-234.99	Unspecified	in situ carcinoma
DOID:8719	oboInOwl:hasDbXref	NCI:C2917	Unspecified	in situ carcinoma
DOID:8719	oboInOwl:hasDbXref	UMLS_CUI:C0007099	Unspecified	in situ carcinoma
DOID:8719	oboInOwl:hasDbXref	ICD10CM:D09.9	Unspecified	in situ carcinoma
DOID:8719	oboInOwl:hasDbXref	MESH:D002278	Unspecified	in situ carcinoma
DOID:8719	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:109355002	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	MESH:D006558	Unspecified	genital herpes
DOID:8704	oboInOwl:hasDbXref	ICD9CM:054.1	Unspecified	genital herpes
DOID:8704	oboInOwl:hasDbXref	NCI:C14364	Unspecified	genital herpes
DOID:8704	oboInOwl:hasDbXref	UMLS_CUI:C0019342	Unspecified	genital herpes
DOID:8704	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154333002	Unspecified	genital herpes
DOID:8702	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93735006	Unspecified	cheek mucosa cancer
DOID:8702	oboInOwl:hasDbXref	NCI:C9320	Unspecified	cheek mucosa cancer
DOID:8702	oboInOwl:hasDbXref	ICD10CM:C06.0	Unspecified	cheek mucosa cancer
DOID:8702	oboInOwl:hasDbXref	UMLS_CUI:C0153373	Unspecified	cheek mucosa cancer
DOID:8702	oboInOwl:hasDbXref	ICD9CM:145.0	Unspecified	cheek mucosa cancer
DOID:7408	oboInOwl:hasDbXref	NCI:C40288	Unspecified	vulvar keratoacanthoma-like carcinoma
DOID:7408	oboInOwl:hasDbXref	UMLS_CUI:C1520086	Unspecified	vulvar keratoacanthoma-like carcinoma
DOID:7409	oboInOwl:hasDbXref	UMLS_CUI:C1520092	Unspecified	vulvar non-keratinizing squamous cell carcinoma
DOID:7409	oboInOwl:hasDbXref	NCI:C40285	Unspecified	vulvar non-keratinizing squamous cell carcinoma
DOID:8738	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266639006	Unspecified	leukoplakia of penis
DOID:8738	oboInOwl:hasDbXref	ICD9CM:607.0	Unspecified	leukoplakia of penis
DOID:8738	oboInOwl:hasDbXref	ICD10CM:N48.0	Unspecified	leukoplakia of penis
DOID:8738	oboInOwl:hasDbXref	UMLS_CUI:C0022782	Unspecified	leukoplakia of penis
DOID:8738	oboInOwl:hasDbXref	MESH:D052798	Unspecified	leukoplakia of penis
DOID:8738	oboInOwl:hasDbXref	NCI:C3151	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266193008	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	GARD:7444	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	UMLS_CUI:C0037354	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	NCI:C35027	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	MESH:D012899	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	ICD9CM:050	Unspecified	smallpox
DOID:8736	oboInOwl:hasDbXref	ICD10CM:B03	Unspecified	smallpox
DOID:7402	oboInOwl:hasDbXref	NCI:C27448	Unspecified	L-cell glucagon-like peptide producing tumor
DOID:7402	oboInOwl:hasDbXref	UMLS_CUI:C3274140	Unspecified	L-cell glucagon-like peptide producing tumor
DOID:7400	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:234638009	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	MESH:D049932	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	OMIM:251260	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	UMLS_CUI:C0398791	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	ORDO:647	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	NCI:C4692	Unspecified	Nijmegen breakage syndrome
DOID:7400	oboInOwl:hasDbXref	GARD:3904	Unspecified	Nijmegen breakage syndrome
DOID:7401	oboInOwl:hasDbXref	UMLS_CUI:C3274139	Unspecified	colonic L-cell glucagon-like peptide producing tumor
DOID:7401	oboInOwl:hasDbXref	NCI:C27447	Unspecified	colonic L-cell glucagon-like peptide producing tumor
DOID:8731	oboInOwl:hasDbXref	ICD9CM:194.5	Unspecified	carotid body cancer
DOID:8731	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93740003	Unspecified	carotid body cancer
DOID:8731	oboInOwl:hasDbXref	ICD10CM:C75.4	Unspecified	carotid body cancer
DOID:8731	oboInOwl:hasDbXref	NCI:C3574	Unspecified	carotid body cancer
DOID:8731	oboInOwl:hasDbXref	UMLS_CUI:C0153656	Unspecified	carotid body cancer
DOID:8729	oboInOwl:hasDbXref	UMLS_CUI:C0026143	Unspecified	milker's nodule
DOID:8729	oboInOwl:hasDbXref	ICD10CM:B08.04	Unspecified	milker's nodule
DOID:8729	oboInOwl:hasDbXref	MESH:D011213	Unspecified	milker's nodule
DOID:8729	oboInOwl:hasDbXref	ICD9CM:051.9	Unspecified	milker's nodule
DOID:8729	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266193008	Unspecified	milker's nodule
DOID:8725	oboInOwl:hasDbXref	NCI:C34525	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	ICD9CM:290.4	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	UMLS_CUI:C0011269	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:56267009	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	ICD10CM:F01	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	MESH:D015140	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:192165000	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	UMLS_CUI:C0011263	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	NCI:C34522	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	MESH:D015161	Unspecified	vascular dementia
DOID:6139	oboInOwl:hasDbXref	NCI:C40174	Unspecified	uterine corpus epithelioid leiomyosarcoma
DOID:6139	oboInOwl:hasDbXref	UMLS_CUI:C1519851	Unspecified	uterine corpus epithelioid leiomyosarcoma
DOID:7465	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:722955006	Unspecified	chronic NK-cell lymphocytosis
DOID:7465	oboInOwl:hasDbXref	NCI:C39591	Unspecified	chronic NK-cell lymphocytosis
DOID:7465	oboInOwl:hasDbXref	UMLS_CUI:C1512709	Unspecified	chronic NK-cell lymphocytosis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0149514	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	NCI:C26722	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD9CM:490	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0008677	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155512004	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD10CM:J42	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	MESH:D029481	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155566007	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD9CM:466.0	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD10CM:J20	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	NCI:C2911	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0006277	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD10CM:J40	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:32398004	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	MESH:D001991	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	NCI:C26932	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD9CM:491	Unspecified	bronchitis
DOID:7463	oboInOwl:hasDbXref	UMLS_CUI:C0279614	Unspecified	childhood pleomorphic rhabdomyosarcoma
DOID:7463	oboInOwl:hasDbXref	NCI:C7959	Unspecified	childhood pleomorphic rhabdomyosarcoma
DOID:8792	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:92590009	Unspecified	eye carcinoma in situ
DOID:8792	oboInOwl:hasDbXref	ICD9CM:234.0	Unspecified	eye carcinoma in situ
DOID:8792	oboInOwl:hasDbXref	UMLS_CUI:C0154094	Unspecified	eye carcinoma in situ
DOID:8792	oboInOwl:hasDbXref	ICD10CM:D09.2	Unspecified	eye carcinoma in situ
DOID:7460	oboInOwl:hasDbXref	UMLS_CUI:C1519487	Unspecified	spindle cell variant squamous cell breast carcinoma
DOID:7460	oboInOwl:hasDbXref	NCI:C40358	Unspecified	spindle cell variant squamous cell breast carcinoma
DOID:8791	oboInOwl:hasDbXref	ICD9CM:233.0	Unspecified	breast carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	ICD10CM:D05	Unspecified	breast carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	MESH:D000071960	Unspecified	breast carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154636004	Unspecified	breast carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	UMLS_CUI:C0154084	Unspecified	breast carcinoma in situ
DOID:8791	skos:exactMatch	MESH:D000071960	Unspecified	breast carcinoma in situ
DOID:7461	oboInOwl:hasDbXref	NCI:C40357	Unspecified	large cell keratinizing variant squamous cell breast carcinoma
DOID:7461	oboInOwl:hasDbXref	UMLS_CUI:C1519486	Unspecified	large cell keratinizing variant squamous cell breast carcinoma
DOID:7459	oboInOwl:hasDbXref	NCI:C40359	Unspecified	acantholytic variant squamous cell breast carcinoma
DOID:7459	oboInOwl:hasDbXref	UMLS_CUI:C1519485	Unspecified	acantholytic variant squamous cell breast carcinoma
DOID:6128	oboInOwl:hasDbXref	MESH:D018302	Unspecified	gliomatosis cerebri
DOID:6128	oboInOwl:hasDbXref	GARD:6514	Unspecified	gliomatosis cerebri
DOID:6128	oboInOwl:hasDbXref	ICDO:9381/3	Unspecified	gliomatosis cerebri
DOID:6128	oboInOwl:hasDbXref	UMLS_CUI:C0334576	Unspecified	gliomatosis cerebri
DOID:6128	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:26138003	Unspecified	gliomatosis cerebri
DOID:6128	oboInOwl:hasDbXref	NCI:C4318	Unspecified	gliomatosis cerebri
DOID:6126	oboInOwl:hasDbXref	UMLS_CUI:C0563211	Unspecified	anal canal carcinoma
DOID:6126	oboInOwl:hasDbXref	NCI:C7489	Unspecified	anal canal carcinoma
DOID:6126	oboInOwl:hasDbXref	OMIM:105580	Unspecified	anal canal carcinoma
DOID:6126	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:285310000	Unspecified	anal canal carcinoma
DOID:6126	oboInOwl:hasDbXref	MESH:C563020	Unspecified	anal canal carcinoma
DOID:7457	oboInOwl:hasDbXref	UMLS_CUI:C0030100	Unspecified	enterobiasis
DOID:7457	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154415009	Unspecified	enterobiasis
DOID:7457	oboInOwl:hasDbXref	ICD10CM:B80	Unspecified	enterobiasis
DOID:7457	oboInOwl:hasDbXref	MESH:D010123	Unspecified	enterobiasis
DOID:8787	oboInOwl:hasDbXref	UMLS_CUI:C0154879	Unspecified	disseminated chorioretinitis
DOID:8787	oboInOwl:hasDbXref	ICD9CM:363.1	Unspecified	disseminated chorioretinitis
DOID:8787	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:78769001	Unspecified	disseminated chorioretinitis
DOID:8787	oboInOwl:hasDbXref	ICD10CM:H30.1	Unspecified	disseminated chorioretinitis
DOID:8781	oboInOwl:hasDbXref	UMLS_CUI:C0035920	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266192003	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	ICD9CM:056	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	ICD10CM:B06.9	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	GARD:4742	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	MESH:D012409	Unspecified	rubella
DOID:8781	oboInOwl:hasDbXref	NCI:C85051	Unspecified	rubella
DOID:7488	oboInOwl:hasDbXref	NCI:C7640	Unspecified	posterior urethra cancer
DOID:7488	oboInOwl:hasDbXref	UMLS_CUI:C0279931	Unspecified	posterior urethra cancer
DOID:7489	oboInOwl:hasDbXref	ICD10CM:M92.52	Unspecified	Osgood-Schlatter's disease
DOID:7489	oboInOwl:hasDbXref	MESH:D055034	Unspecified	Osgood-Schlatter's disease
DOID:7489	oboInOwl:hasDbXref	UMLS_CUI:C0029376	Unspecified	Osgood-Schlatter's disease
DOID:7489	oboInOwl:hasDbXref	NCI:C34874	Unspecified	Osgood-Schlatter's disease
DOID:7489	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:72047008	Unspecified	Osgood-Schlatter's disease
DOID:7482	oboInOwl:hasDbXref	NCI:C5271	Unspecified	petrous apex meningioma
DOID:7482	oboInOwl:hasDbXref	UMLS_CUI:C1335396	Unspecified	petrous apex meningioma
DOID:7483	oboInOwl:hasDbXref	NCI:C40187	Unspecified	cervical keratinizing squamous cell carcinoma
DOID:7483	oboInOwl:hasDbXref	UMLS_CUI:C1517658	Unspecified	cervical keratinizing squamous cell carcinoma
DOID:7491	oboInOwl:hasDbXref	NCI:C40319	Unspecified	vulvar proximal-type epithelioid sarcoma
DOID:7491	oboInOwl:hasDbXref	UMLS_CUI:C1520093	Unspecified	vulvar proximal-type epithelioid sarcoma
DOID:6160	oboInOwl:hasDbXref	NCI:C6544	Unspecified	childhood choriocarcinoma of the testis
DOID:6160	oboInOwl:hasDbXref	UMLS_CUI:C1333006	Unspecified	childhood choriocarcinoma of the testis
DOID:7492	oboInOwl:hasDbXref	UMLS_CUI:C1335563	Unspecified	central epithelioid sarcoma
DOID:7492	oboInOwl:hasDbXref	NCI:C27472	Unspecified	central epithelioid sarcoma
DOID:6161	oboInOwl:hasDbXref	UMLS_CUI:C1333009	Unspecified	childhood testicular mixed germ cell tumor
DOID:6161	oboInOwl:hasDbXref	NCI:C6542	Unspecified	childhood testicular mixed germ cell tumor
DOID:6148	oboInOwl:hasDbXref	UMLS_CUI:C0347095	Unspecified	nasal cavity carcinoma in situ
DOID:6148	oboInOwl:hasDbXref	ICD10CM:D02.3	Unspecified	nasal cavity carcinoma in situ
DOID:6148	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:92663007	Unspecified	nasal cavity carcinoma in situ
DOID:7479	oboInOwl:hasDbXref	NCI:C27407	Unspecified	duodenal somatostatinoma
DOID:7479	oboInOwl:hasDbXref	UMLS_CUI:C1333320	Unspecified	duodenal somatostatinoma
DOID:7475	oboInOwl:hasDbXref	NCI:C26752	Unspecified	diverticulitis
DOID:7475	oboInOwl:hasDbXref	MESH:D004238	Unspecified	diverticulitis
DOID:7475	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155779000	Unspecified	diverticulitis
DOID:7475	oboInOwl:hasDbXref	UMLS_CUI:C0012813	Unspecified	diverticulitis
DOID:7474	oboInOwl:hasDbXref	NCI:C7376	Unspecified	malignant pleural mesothelioma
DOID:7474	oboInOwl:hasDbXref	ICD10CM:C45.0	Unspecified	malignant pleural mesothelioma
DOID:7474	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:254645002	Unspecified	malignant pleural mesothelioma
DOID:7474	oboInOwl:hasDbXref	MESH:D000086002	Unspecified	malignant pleural mesothelioma
DOID:7474	oboInOwl:hasDbXref	UMLS_CUI:C0812413	Unspecified	malignant pleural mesothelioma
DOID:7480	oboInOwl:hasDbXref	ICDO:8014/3	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:7480	oboInOwl:hasDbXref	UMLS_CUI:C1265997	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:7480	oboInOwl:hasDbXref	NCI:C6876	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:7480	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:128629005	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:7428	oboInOwl:hasDbXref	UMLS_CUI:C0854912	Unspecified	pineal region germinoma
DOID:7428	oboInOwl:hasDbXref	NCI:C8712	Unspecified	pineal region germinoma
DOID:7429	oboInOwl:hasDbXref	UMLS_CUI:C1332948	Unspecified	childhood brain germinoma
DOID:7429	oboInOwl:hasDbXref	NCI:C6207	Unspecified	childhood brain germinoma
DOID:7426	oboInOwl:hasDbXref	GARD:8158	Unspecified	cutaneous anthrax
DOID:7426	oboInOwl:hasDbXref	UMLS_CUI:C0003177	Unspecified	cutaneous anthrax
DOID:7426	oboInOwl:hasDbXref	ICD9CM:022.0	Unspecified	cutaneous anthrax
DOID:7426	oboInOwl:hasDbXref	MESH:C531621	Unspecified	cutaneous anthrax
DOID:7426	oboInOwl:hasDbXref	ICD10CM:A22.0	Unspecified	cutaneous anthrax
DOID:7426	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:84980006	Unspecified	cutaneous anthrax
DOID:8757	oboInOwl:hasDbXref	ICD9CM:535.2	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:60002000	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	OMIM:137280	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	NCI:C67277	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	MESH:D005758	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	ICD10CM:K29.6	Unspecified	gastric mucosal hypertrophy
DOID:8757	oboInOwl:hasDbXref	UMLS_CUI:C0017155	Unspecified	gastric mucosal hypertrophy
DOID:7427	oboInOwl:hasDbXref	NCI:C84565	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	ICD9CM:022	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	ICD10CM:A22	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	GARD:8157	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154295005	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	UMLS_CUI:C0003175	Unspecified	anthrax disease
DOID:7427	oboInOwl:hasDbXref	MESH:D000881	Unspecified	anthrax disease
DOID:8747	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:95278004	Unspecified	subacute myeloid leukemia
DOID:8747	oboInOwl:hasDbXref	UMLS_CUI:C0153889	Unspecified	subacute myeloid leukemia
DOID:8743	oboInOwl:hasDbXref	UMLS_CUI:C0085273	Unspecified	erythema infectiosum
DOID:8743	oboInOwl:hasDbXref	NCI:C84695	Unspecified	erythema infectiosum
DOID:8743	oboInOwl:hasDbXref	ICD10CM:B08.3	Unspecified	erythema infectiosum
DOID:8743	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:34730008	Unspecified	erythema infectiosum
DOID:8743	oboInOwl:hasDbXref	MESH:D016731	Unspecified	erythema infectiosum
DOID:8743	oboInOwl:hasDbXref	ICD9CM:057.0	Unspecified	erythema infectiosum
DOID:7411	oboInOwl:hasDbXref	NCI:C27288	Unspecified	ovarian endometrioid cystadenofibroma
DOID:7411	oboInOwl:hasDbXref	UMLS_CUI:C1335158	Unspecified	ovarian endometrioid cystadenofibroma
DOID:8741	oboInOwl:hasDbXref	NCI:C111888	Unspecified	seborrheic dermatitis
DOID:8741	oboInOwl:hasDbXref	ICD10CM:L21	Unspecified	seborrheic dermatitis
DOID:8741	oboInOwl:hasDbXref	ICD9CM:690.1	Unspecified	seborrheic dermatitis
DOID:8741	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:156328004	Unspecified	seborrheic dermatitis
DOID:8741	oboInOwl:hasDbXref	MESH:D012628	Unspecified	seborrheic dermatitis
DOID:8741	oboInOwl:hasDbXref	UMLS_CUI:C0036508	Unspecified	seborrheic dermatitis
DOID:6119	oboInOwl:hasDbXref	UMLS_CUI:C1514844	Unspecified	renal pelvis urothelial papilloma
DOID:6119	oboInOwl:hasDbXref	NCI:C4528	Unspecified	renal pelvis urothelial papilloma
DOID:6118	oboInOwl:hasDbXref	UMLS_CUI:C1335751	Unspecified	renal pelvis inverted papilloma
DOID:6118	oboInOwl:hasDbXref	NCI:C6187	Unspecified	renal pelvis inverted papilloma
DOID:8778	oboInOwl:hasDbXref	MESH:D003424	Unspecified	Crohn's disease
DOID:8778	oboInOwl:hasDbXref	ICD10CM:K50.1	Unspecified	Crohn's disease
DOID:8778	oboInOwl:hasDbXref	UMLS_CUI:C0156147	Unspecified	Crohn's disease
