# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2024-11-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hp_lexical.sssom.tsv
# object_source: http://purl.obolibrary.org/obo/hp.owl
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
# mapping_provider: https://monarchinitiative.org/
subject_id	subject_label	object_id	object_label	mapping_justification	predicate_id	comment
MONDO:0000004	adrenocortical insufficiency	HP:0000846	Adrenal insufficiency	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000004	adrenocortical insufficiency	HP:0008163	Decreased circulating cortisol level	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000004	adrenocortical insufficiency	HP:0008207	Primary adrenal insufficiency	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000009	inherited bleeding disorder, platelet-type	HP:0001872	Abnormality of thrombocytes	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000022	nocturnal enuresis	HP:0010677	Enuresis nocturna	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000050	isolated congenital growth hormone deficiency	HP:0000839	Pituitary dwarfism	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000082	pelvic organ prolapse	HP:0031607	Pelvic organ prolapse	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000087	polymicrogyria	HP:0002126	Polymicrogyria	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000088	precocious puberty	HP:0000826	Precocious puberty	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000107	auriculocondylar syndrome	HP:0030022	Question mark ear	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000110	bifid nose	HP:0011803	Bifid nose	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000115	Chiari malformation	HP:0002308	Chiari malformation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000129	glutaric aciduria	HP:0003150	Glutaric aciduria	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000129	glutaric aciduria	HP:0003530	Elevated circulating glutaric acid concentration	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000138	metaphyseal chondrodysplasia	HP:0005871	Metaphyseal chondrodysplasia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000153	transposition of the great arteries	HP:0001669	Transposition of the great arteries	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000156	trigonocephaly	HP:0000243	Trigonocephaly	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000158	developmental dysplasia of the hip	HP:0001385	Hip dysplasia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000190	ventricular fibrillation	HP:0001663	Ventricular fibrillation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000249	secretory diarrhea	HP:0005208	Secretory diarrhea	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000250	osmotic diarrheal disease	HP:0033310	Osmotic diarrhea	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000261	adenoiditis	HP:0031458	Adenoiditis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
