# creator_id: h2
# curie_map:
#   ICD10CM: 'ICD10CM:'
#   IMDRF: IMDRF
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/mondo-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label	subject_category	predicate_label	predicate_modifier	object_label	object_category	author_id	author_label	reviewer_id	reviewer_label	creator_id	creator_label	license	subject_source	subject_source_version	object_source	object_source_version	mapping_provider	mapping_cardinality	mapping_tool	mapping_tool_version	mapping_date	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing	match_term_type	semantic_similarity_score	semantic_similarity_measure	see_also	other	comment
NCI:C79695	oboInOwl:hasDbXref	IMDRF:E0125	Unspecified	Neuralgia																																	
NCI:C79821	oboInOwl:hasDbXref	IMDRF:E1307	Unspecified	Urethral Stricture																																	
NCI:C79539	oboInOwl:hasDbXref	IMDRF:E011301	Unspecified	Aphonia																																	
NCI:C79472	oboInOwl:hasDbXref	IMDRF:E1407	Unspecified	Reproductive System Hemorrhage																																	
NCI:C165593	oboInOwl:hasDbXref	IMDRF:F1201	Unspecified	Chronic Disease																																	
NCI:C51067	oboInOwl:hasDbXref	IMDRF:G04140	Unspecified	Wheel Device																																	
NCI:C51447	oboInOwl:hasDbXref	IMDRF:E0743	Unspecified	Pulmonary Insufficiency																																	
NCI:C26470	oboInOwl:hasDbXref	UBERON:0002397	Unspecified	Maxilla																																	
NCI:C51220	oboInOwl:hasDbXref	IMDRF:E2102	Unspecified	Insufficient Anesthesia																																	
NCI:C51221	oboInOwl:hasDbXref	IMDRF:E061201	Unspecified	Angina																																	
NCI:C51223	oboInOwl:hasDbXref	IMDRF:E062101	Unspecified	Aortic Valve Insufficiency																																	
NCI:C51224	oboInOwl:hasDbXref	IMDRF:E060103	Unspecified	Atrial Flutter																																	
NCI:C51225	oboInOwl:hasDbXref	IMDRF:E1101	Unspecified	Biliary Cirrhosis																																	
NCI:C99179	oboInOwl:hasDbXref	IMDRF:A0508	Unspecified	Audible Device Noise																																	
NCI:C3889	oboInOwl:hasDbXref	IMDRF:E1411	Unspecified	Pelvic Inflammatory Disease																																	
NCI:C3832	oboInOwl:hasDbXref	IMDRF:E020204	Unspecified	Malaise																																	
NCI:C26710	oboInOwl:hasDbXref	IMDRF:E073301	Unspecified	Bronchopneumonia																																	
NCI:C26720	oboInOwl:hasDbXref	IMDRF:E1504	Unspecified	Chorioamnionitis																																	
NCI:C26713	oboInOwl:hasDbXref	IMDRF:E0802	Unspecified	Cataract																																	
NCI:C26715	oboInOwl:hasDbXref	IMDRF:E172002	Unspecified	Cellulitis																																	
NCI:C26730	oboInOwl:hasDbXref	IMDRF:E081901	Unspecified	Corneal Abrasion																																	
NCI:C26726	oboInOwl:hasDbXref	IMDRF:E1906	Unspecified	Infectious Disorder																																	
NCI:C26729	oboInOwl:hasDbXref	IMDRF:E1604	Unspecified	Connective Tissue Disorder																																	
NCI:C26740	oboInOwl:hasDbXref	IMDRF:E1201	Unspecified	Dehydration																																	
NCI:C26743	oboInOwl:hasDbXref	IMDRF:E172003	Unspecified	Contact Dermatitis																																	
NCI:C26737	oboInOwl:hasDbXref	IMDRF:E2305	Unspecified	Cyanosis																																	
NCI:C26750	oboInOwl:hasDbXref	IMDRF:E1614	Unspecified	Joint Dislocation																																	
NCI:C26760	oboInOwl:hasDbXref	IMDRF:E0114	Unspecified	Encephalitis																																	
NCI:C26766	oboInOwl:hasDbXref	IMDRF:E0718	Unspecified	Epistaxis																																	
NCI:C26758	oboInOwl:hasDbXref	IMDRF:E050601	Unspecified	Ecchymosis																																	
NCI:C26759	oboInOwl:hasDbXref	IMDRF:E0503	Unspecified	Embolism																																	
NCI:C26782	oboInOwl:hasDbXref	IMDRF:E0822	Unspecified	Glaucoma																																	
NCI:C26780	oboInOwl:hasDbXref	IMDRF:E1012	Unspecified	Gastritis																																	
NCI:C26778	oboInOwl:hasDbXref	IMDRF:E160303	Unspecified	Multiple Fractures																																	
NCI:C26794	oboInOwl:hasDbXref	IMDRF:E160301	Unspecified	Hip Fracture																																	
NCI:C26797	oboInOwl:hasDbXref	IMDRF:E1205	Unspecified	Hyperglycemia																																	
NCI:C26791	oboInOwl:hasDbXref	IMDRF:E0506	Unspecified	Hemorrhage																																	
NCI:C3890	oboInOwl:hasDbXref	IMDRF:E0726	Unspecified	Hypoxia																																	
NCI:C26909	oboInOwl:hasDbXref	IMDRF:E0837	Unspecified	Uveitis																																	
NCI:C26901	oboInOwl:hasDbXref	IMDRF:E171601	Unspecified	Erythema																																	
NCI:C26906	oboInOwl:hasDbXref	IMDRF:E1308	Unspecified	Urinary Frequency																																	
NCI:C26805	oboInOwl:hasDbXref	IMDRF:E0829	Unspecified	Keratitis																																	
NCI:C26828	oboInOwl:hasDbXref	IMDRF:E0121	Unspecified	Meningitis																																	
NCI:C26829	oboInOwl:hasDbXref	IMDRF:E140702	Unspecified	Menorrhagia																																	
NCI:C26835	oboInOwl:hasDbXref	IMDRF:E0139	Unspecified	Nervous System Disorder																																	
NCI:C26851	oboInOwl:hasDbXref	IMDRF:E0730	Unspecified	Pharyngitis																																	
NCI:C26849	oboInOwl:hasDbXref	IMDRF:E1024	Unspecified	Peritonitis																																	
NCI:C26871	oboInOwl:hasDbXref	IMDRF:E0752	Unspecified	Respiratory System Disorder																																	
NCI:C26872	oboInOwl:hasDbXref	IMDRF:E0742	Unspecified	Respiratory Failure																																	
NCI:C26874	oboInOwl:hasDbXref	IMDRF:E081903	Unspecified	Retinal Detachment																																	
NCI:C26868	oboInOwl:hasDbXref	IMDRF:E0736	Unspecified	Pulmonary Edema																																	
NCI:C26887	oboInOwl:hasDbXref	IMDRF:E1031	Unspecified	Stomatitis																																	
NCI:C26879	oboInOwl:hasDbXref	IMDRF:E1028	Unspecified	Salivary Gland Disorder																																	
NCI:C12298	oboInOwl:hasDbXref	UBERON:0003693	Unspecified	Retroperitoneum																																	
NCI:C12290	oboInOwl:hasDbXref	UBERON:0001684	Unspecified	Mandible																																	
NCI:C85079	oboInOwl:hasDbXref	IMDRF:E010904	Unspecified	Status Epilepticus																																	
NCI:C26682	oboInOwl:hasDbXref	IMDRF:E1002	Unspecified	Abdominal Pain																																	
NCI:C26686	oboInOwl:hasDbXref	IMDRF:E172001	Unspecified	Abscess																																	
NCI:C26693	oboInOwl:hasDbXref	IMDRF:E0501	Unspecified	Aneurysm																																	
NCI:C26696	oboInOwl:hasDbXref	IMDRF:E020201	Unspecified	Anxiety																																	
NCI:C26698	oboInOwl:hasDbXref	IMDRF:E0703	Unspecified	Apnea																																	
NCI:C3408	oboInOwl:hasDbXref	IMDRF:E030202	Unspecified	Thrombocytopenia																																	
NCI:C50803	oboInOwl:hasDbXref	IMDRF:E0105	Unspecified	Ventriculomeglia																																	
