# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   NCI: http://purl.obolibrary.org/obo/NCIT_
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2018-07-05'
# mapping_provider: https://ncit.nci.nih.gov/ncitbrowser/ajax?action=export_maps_to_mapping&target=ICD10%202016
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/ncit_icd10_2017.sssom.tsv
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	subject_label	match_type
NCI:C9305	skos:relatedMatch	ICD10:C80.9	Malignant neoplasm, unspecified	Unspecified
NCI:C3161	skos:relatedMatch	ICD10:C94.7	Other specified leukaemias	Unspecified
NCI:C3172	skos:relatedMatch	ICD10:C92.7	Other myeloid leukaemia	Unspecified
NCI:C3247	skos:relatedMatch	ICD10:D46.7	Other myelodysplastic syndromes	Unspecified
NCI:C4763	skos:exactMatch	ICD10:C15.0	Malignant neoplasm: Cervical part of oesophagus	Unspecified
NCI:C84509	skos:relatedMatch	ICD10:C97	Malignant neoplasms of independent (primary) multiple sites	Unspecified
NCI:C35470	skos:relatedMatch	ICD10:Z64.2	Seeking and accepting physical, nutritional and chemical interventions known to be hazardous and harmful	Unspecified
NCI:C34340	skos:relatedMatch	ICD10:V99	Unspecified transport accident	Unspecified
NCI:C36987	skos:relatedMatch	ICD10:R72	Abnormality of white blood cells, not elsewhere classified	Unspecified
NCI:C95071	skos:relatedMatch	ICD10:Z91.3	Personal history of unhealthy sleep-wake schedule	Unspecified

