# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   NCI: http://purl.obolibrary.org/obo/NCIT_
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2018-07-05'
# mapping_provider: https://ncit.nci.nih.gov/ncitbrowser/ajax?action=export_maps_to_mapping&target=ICD10CM%202017
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/ncit_icd10_2017.sssom.tsv
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	subject_label	match_type
NCI:C9335	skos:narrowMatch	ICD10CM:C50.3	Malignant neoplasm: Lower-inner quadrant of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.4	Malignant neoplasm: Upper-outer quadrant of breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.912	Malignant neoplasm of unspecified site of left female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.929	Malignant neoplasm of unspecified site of unspecified male breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.211	Malignant neoplasm of upper-inner quadrant of right female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.811	Malignant neoplasm of overlapping sites of right female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.911	Malignant neoplasm of unspecified site of right female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.812	Malignant neoplasm of overlapping sites of left female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.2	Malignant neoplasm: Upper-inner quadrant of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.411	Malignant neoplasm of upper-outer quadrant of right female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.419	Malignant neoplasm of upper-outer quadrant of unspecified female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.219	Malignant neoplasm of upper-inner quadrant of unspecified female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.5	Malignant neoplasm: Lower-outer quadrant of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.311	Malignant neoplasm of lower-inner quadrant of right female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.519	Malignant neoplasm of lower-outer quadrant of unspecified female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.112	Malignant neoplasm of central portion of left female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.412	Malignant neoplasm of upper-outer quadrant of left female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.8	Malignant neoplasm: Overlapping lesion of breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.919	Malignant neoplasm of unspecified site of unspecified female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.512	Malignant neoplasm of lower-outer quadrant of left female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.111	Malignant neoplasm of central portion of right female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.212	Malignant neoplasm of upper-inner quadrant of left female breast	Unspecified
NCI:C9335	skos:exactMatch	ICD10CM:C50	Malignant neoplasm of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.312	Malignant neoplasm of lower-inner quadrant of left female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.91	Malignant neoplasm of breast of unspecified site, female	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.9	Malignant neoplasm: Breast, unspecified	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.319	Malignant neoplasm of lower-inner quadrant of unspecified female breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.1	Malignant neoplasm: Central portion of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.6	Malignant neoplasm: Axillary tail of breast	Unspecified
NCI:C9335	skos:narrowMatch	ICD10CM:C50.511	Malignant neoplasm of lower-outer quadrant of right female breast	Unspecified
NCI:C9335	skos:relatedMatch	ICD10CM:C50.819	Malignant neoplasm of overlapping sites of unspecified female breast	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.82	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85	Other and unspecified types of non-Hodgkin lymphoma	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.85	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.89	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.81	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.91	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.88	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.8	Other specified types of non-Hodgkin lymphoma	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.83	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes	Unspecified
NCI:C3211	skos:relatedMatch	ICD10CM:C85.9	Non-Hodgkin lymphoma, unspecified	Unspecified
NCI:C4016	skos:relatedMatch	ICD10CM:C40.91	Malignant neoplasm of unspecified bones and articular cartilage of right limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.1	Malignant neoplasm: Short bones of upper limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C41.4	Malignant neoplasm: Pelvic bones, sacrum and coccyx	Unspecified
NCI:C4016	skos:relatedMatch	ICD10CM:C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	Unspecified
NCI:C4016	skos:relatedMatch	ICD10CM:C40.90	Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.2	Malignant neoplasm: Long bones of lower limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C41.0	Malignant neoplasm: Bones of skull and face	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.02	Malignant neoplasm of scapula and long bones of left upper limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.20	Malignant neoplasm of long bones of unspecified lower limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.0	Malignant neoplasm: Scapula and long bones of upper limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.00	Malignant neoplasm of scapula and long bones of unspecified upper limb	Unspecified
NCI:C4016	skos:relatedMatch	ICD10CM:C40	Malignant neoplasm of bone and articular cartilage of limbs	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.01	Malignant neoplasm of scapula and long bones of right upper limb	Unspecified
NCI:C4016	skos:relatedMatch	ICD10CM:C41.9	Malignant neoplasm: Bone and articular cartilage, unspecified	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C41.2	Malignant neoplasm: Vertebral column	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.22	Malignant neoplasm of long bones of left lower limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.3	Malignant neoplasm: Short bones of lower limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.10	Malignant neoplasm of short bones of unspecified upper limb	Unspecified
NCI:C4016	skos:narrowMatch	ICD10CM:C40.21	Malignant neoplasm of long bones of right lower limb	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.1	Malignant neoplasm: Upper lobe, bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.3	Malignant neoplasm: Lower lobe, bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.00	Malignant neoplasm of unspecified main bronchus	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.31	Malignant neoplasm of lower lobe, right bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.9	Malignant neoplasm: Bronchus or lung, unspecified	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.32	Malignant neoplasm of lower lobe, left bronchus or lung	Unspecified
NCI:C4571	skos:relatedMatch	ICD10CM:C34.8	Malignant neoplasm: Overlapping lesion of bronchus and lung	Unspecified
NCI:C4571	skos:relatedMatch	ICD10CM:C34.81	Malignant neoplasm of overlapping sites of right bronchus and lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.30	Malignant neoplasm of lower lobe, unspecified bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.01	Malignant neoplasm of right main bronchus	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.91	Malignant neoplasm of unspecified part of right bronchus or lung	Unspecified
