# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:124	oboInOwl:hasDbXref	OMIM:612561	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:617409	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	UMLS:C2931850	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:615909	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:300946	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:614900	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:617408	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:610629	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:618313	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	UMLS:C1260899	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:618312	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:105650	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:615550	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:618310	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:613309	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:612528	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:606129	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	OMIM:612563	Unspecified	Blackfan-Diamond anemia
